Name,Link
>Australian National University (ANU)<,https://www.anu.edu.au/
>The University of Melbourne<,https://www.unimelb.edu.au/
>The University of Sydney<,https://www.sydney.edu.au/
>The University of New South Wales (UNSW Sydney)<,https://www.unsw.edu.au/
>The University of Queensland<,https://www.uq.edu.au/
>Monash University<,https://www.monash.edu/
>The University of Western Australia<,https://www.uwa.edu.au/
>The University of Adelaide<,https://www.adelaide.edu.au/
>University of Technology Sydney<,https://www.uts.edu.au/
>University of Wollongong<,https://www.uow.edu.au/
>Curtin University<,https://www.curtin.edu.au/
">The University of Newcastle, Australia (UON)<",https://www.newcastle.edu.au/
>Macquarie University<,https://www.mq.edu.au/
>RMIT University<,https://www.rmit.edu.au/
>Queensland University of Technology (QUT)<,https://www.qut.edu.au/
>Deakin University<,https://www.deakin.edu.au/
>Griffith University<,https://www.griffith.edu.au/
>University of Tasmania<,https://www.utas.edu.au/
>Swinburne University of Technology<,https://www.swinburne.edu.au/
>University of South Australia<,https://www.unisa.edu.au/
>La Trobe University<,https://www.latrobe.edu.au/
>Flinders University<,https://www.flinders.edu.au/
>James Cook University<,https://www.jcu.edu.au/
>University of Canberra<,https://www.canberra.edu.au/
>Bond University<,https://bond.edu.au/intl
>Western Sydney University<,https://www.westernsydney.edu.au/
>Murdoch University<,https://www.murdoch.edu.au/
>Central Queensland University (CQUniversity Australia)<,https://www.cqu.edu.au/
>Victoria University <,https://www.vu.edu.au/
>Edith Cowan University <,https://www.ecu.edu.au/
>Charles Darwin University <,https://www.cdu.edu.au/
>University of Southern Queensland<,https://www.unisq.edu.au/
>Southern Cross University <,https://www.scu.edu.au/
>Australian Catholic University<,https://www.acu.edu.au/
>Charles Sturt University <,https://www.csu.edu.au/
>University of New England Australia<,https://www.une.edu.au/
>University of the Sunshine Coast <,https://www.usc.edu.au/
">The University of Notre Dame, Australia<",https://www.notredame.edu.au/
