Name,Link
>University of Toronto<,https://www.utoronto.ca/
>McGill University<,https://www.mcgill.ca/
>University of British Columbia<,https://www.ubc.ca/
>Université de Montréal <,https://www.umontreal.ca/
>University of Alberta<,https://www.ualberta.ca/index.html
>McMaster University<,https://www.mcmaster.ca/
>University of Waterloo<,https://uwaterloo.ca/
>Western University<,https://www.uwo.ca/
>University of Ottawa<,https://www.uottawa.ca/en
>University of Calgary<,https://www.ucalgary.ca/
>Queen\'s University at Kingston<,https://www.queensu.ca/
>Dalhousie University<,https://www.dal.ca/
>Simon Fraser University<,https://www.sfu.ca/
>University of Victoria (UVic)<,https://www.uvic.ca/
>Université Laval<,https://www.ulaval.ca/
>University of Saskatchewan<,https://www.usask.ca/
>York University<,https://www.yorku.ca/
>Concordia University<,https://www.concordia.ca/
>University of Guelph<,https://www.uoguelph.ca/
>Université du Québec<,https://uqam.ca/
>Carleton University<,https://carleton.ca/
>University of Manitoba<,https://umanitoba.ca/
>University of New Brunswick<,https://www.unb.ca/
>University of Windsor<,https://www.uwindsor.ca/
>Memorial University of Newfoundland<,https://www.mun.ca/
>Université de Sherbrooke<,https://www.usherbrooke.ca/
>Toronto Metropolitan University<,https://www.torontomu.ca/
>Brock University<,https://brocku.ca/
